date,ticker,ea,source,reported_date,fiscal_date_ending,reported_eps,estimated_eps,surprise,surprise_percentage,aligned_to_trading_day
2006-11-14,WMT,1,Alpha Vantage EARNINGS,2006-11-14,2006-10-31,0.2,0.2,0.0,0.0,False
2007-02-20,WMT,1,Alpha Vantage EARNINGS,2007-02-20,2007-01-31,0.31,0.3,0.01,3.3333,False
2007-05-15,WMT,1,Alpha Vantage EARNINGS,2007-05-15,2007-04-30,0.23,0.23,0.0,0.0,False
2007-08-14,WMT,1,Alpha Vantage EARNINGS,2007-08-14,2007-07-31,0.24,0.25,-0.01,-4.0,False
2007-11-13,WMT,1,Alpha Vantage EARNINGS,2007-11-13,2007-10-31,0.23,0.22,0.01,4.5455,False
2008-02-19,WMT,1,Alpha Vantage EARNINGS,2008-02-19,2008-01-31,0.35,0.34,0.01,2.9412,False
2008-05-13,WMT,1,Alpha Vantage EARNINGS,2008-05-13,2008-04-30,0.25,0.25,0.0,0.0,False
2008-08-14,WMT,1,Alpha Vantage EARNINGS,2008-08-14,2008-07-31,0.29,0.28,0.01,3.5714,False
2008-11-13,WMT,1,Alpha Vantage EARNINGS,2008-11-13,2008-10-31,0.26,0.25,0.01,4.0,False
2009-02-17,WMT,1,Alpha Vantage EARNINGS,2009-02-17,2009-01-31,0.34,0.32,0.02,6.25,False
2009-05-14,WMT,1,Alpha Vantage EARNINGS,2009-05-14,2009-04-30,0.26,0.26,0.0,0.0,False
2009-08-13,WMT,1,Alpha Vantage EARNINGS,2009-08-13,2009-07-31,0.29,0.28,0.01,3.5714,False
2009-11-12,WMT,1,Alpha Vantage EARNINGS,2009-11-12,2009-10-31,0.28,0.27,0.01,3.7037,False
2010-02-18,WMT,1,Alpha Vantage EARNINGS,2010-02-18,2010-01-31,0.39,0.37,0.02,5.4054,False
2010-05-18,WMT,1,Alpha Vantage EARNINGS,2010-05-18,2010-04-30,0.29,0.29,0.0,0.0,False
2010-08-17,WMT,1,Alpha Vantage EARNINGS,2010-08-17,2010-07-31,0.32,0.32,0.0,0.0,False
2010-11-16,WMT,1,Alpha Vantage EARNINGS,2010-11-16,2010-10-31,0.3,0.3,0.0,0.0,False
2011-02-22,WMT,1,Alpha Vantage EARNINGS,2011-02-22,2011-01-31,0.45,0.44,0.01,2.2727,False
2011-05-17,WMT,1,Alpha Vantage EARNINGS,2011-05-17,2011-04-30,0.33,0.32,0.01,3.125,False
2011-08-16,WMT,1,Alpha Vantage EARNINGS,2011-08-16,2011-07-31,0.36,0.36,0.0,0.0,False
2011-11-15,WMT,1,Alpha Vantage EARNINGS,2011-11-15,2011-10-31,0.32,0.33,-0.01,-3.0303,False
2012-02-21,WMT,1,Alpha Vantage EARNINGS,2012-02-21,2012-01-31,0.48,0.49,-0.01,-2.0408,False
2012-05-17,WMT,1,Alpha Vantage EARNINGS,2012-05-17,2012-04-30,0.36,0.35,0.01,2.8571,False
2012-08-16,WMT,1,Alpha Vantage EARNINGS,2012-08-16,2012-07-31,0.39,0.39,0.0,0.0,False
2012-11-15,WMT,1,Alpha Vantage EARNINGS,2012-11-15,2012-10-31,0.36,0.36,0.0,0.0,False
2013-02-21,WMT,1,Alpha Vantage EARNINGS,2013-02-21,2013-01-31,0.56,0.52,0.04,7.6923,False
2013-05-16,WMT,1,Alpha Vantage EARNINGS,2013-05-16,2013-04-30,0.38,0.38,0.0,0.0,False
2013-08-15,WMT,1,Alpha Vantage EARNINGS,2013-08-15,2013-07-31,1.24,1.17,0.07,5.9829,False
2013-11-14,WMT,1,Alpha Vantage EARNINGS,2013-11-14,2013-10-31,1.14,1.07,0.07,6.5421,False
2014-02-20,WMT,1,Alpha Vantage EARNINGS,2014-02-20,2014-01-31,1.6,1.59,0.01,0.6289,False
2014-05-15,WMT,1,Alpha Vantage EARNINGS,2014-05-15,2014-04-30,1.1,1.15,-0.05,-4.3478,False
2014-08-14,WMT,1,Alpha Vantage EARNINGS,2014-08-14,2014-07-31,1.21,1.25,-0.04,-3.2,False
2014-11-13,WMT,1,Alpha Vantage EARNINGS,2014-11-13,2014-10-31,1.15,1.13,0.02,1.7699,False
2015-04-01,WMT,1,Alpha Vantage EARNINGS,2015-04-01,2015-01-31,1.58,1.53,0.05,3.268,False
2015-05-19,WMT,1,Alpha Vantage EARNINGS,2015-05-19,2015-04-30,1.03,1.15,-0.12,-10.4348,False
2015-08-18,WMT,1,Alpha Vantage EARNINGS,2015-08-18,2015-07-31,0.99,1.21,-0.22,-18.1818,False
2015-11-17,WMT,1,Alpha Vantage EARNINGS,2015-11-17,2015-10-31,0.99,1.12,-0.13,-11.6071,False
2016-03-30,WMT,1,Alpha Vantage EARNINGS,2016-03-30,2016-01-31,1.49,1.46,0.03,2.0548,False
2016-05-19,WMT,1,Alpha Vantage EARNINGS,2016-05-19,2016-04-30,0.98,1.04,-0.06,-5.7692,False
2016-08-18,WMT,1,Alpha Vantage EARNINGS,2016-08-18,2016-07-31,0.98,1.12,-0.14,-12.5,False
2016-11-17,WMT,1,Alpha Vantage EARNINGS,2016-11-17,2016-10-31,0.3267,0.98,-0.6533,-66.6633,False
