dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
PARTIAL_MALL,5,Lasso,rolling,3,2.5561043311974778e-08,0.00015719276465854106,9.747942213853277e-05,1.3283661497187391,1.0628458720673988
PARTIAL_MALL,5,LevHAR,rolling,3,2.6057207152736547e-08,0.00015833628955775578,8.899729027840728e-05,1.368145114222819,1.0093410380536916
PARTIAL_MALL,5,LogHAR,rolling,3,1.5918149649153307e-08,0.00012485717354432876,5.6731011354552447e-05,0.8124110182659722,0.8133259500466822
PARTIAL_MALL,5,NN1,fixed,3,2.1678445647439973e-08,0.00014502572719183104,9.400294544487392e-05,1.0945047386783153,1.0763876909920083
PARTIAL_MALL,5,NN1_1,fixed,3,2.250668668056328e-08,0.00014715086464428176,9.568259873458868e-05,1.1151622431872668,1.2043445849007575
PARTIAL_MALL,5,NN2,fixed,3,2.4150072214777546e-08,0.0001519555711402124,0.00010466014266410016,1.1901061420901724,1.3022443100185204
PARTIAL_MALL,5,NN2_1,fixed,3,2.2806631025928418e-08,0.00014825338738153702,9.800176753542943e-05,1.1395442213230413,1.1695957447715455
PARTIAL_MALL,5,NN3,fixed,3,2.447448566503803e-08,0.00015241220550164838,0.00010821995805787103,1.1901054599023209,1.275914851771114
PARTIAL_MALL,5,NN3_1,fixed,3,2.158041155636411e-08,0.0001436343799422524,9.41788515154502e-05,1.0573753891152664,1.0390683047508666
PARTIAL_MALL,5,NN4,fixed,3,2.3097716059138224e-08,0.00014882333736343804,0.00010336662770936426,1.1400890688400322,1.251627680756413
PARTIAL_MALL,5,NN4_1,fixed,3,2.0797115415599046e-08,0.00014205060545889524,9.06107792978949e-05,1.0451242800160665,1.0686051994948482
PARTIAL_MALL,5,PostLasso,rolling,3,2.5066783100746445e-08,0.00015590971381805447,8.982289602190044e-05,1.301454285471247,1.057966126695249
PARTIAL_MALL,5,RandomForest,rolling,3,1.731609064853192e-08,0.00013029183191092753,6.007803730757982e-05,0.8884412631121469,0.8311700629397769
PARTIAL_MALL,5,Ridge,rolling,3,2.5640462239278753e-08,0.00015717753665194512,9.172603678410728e-05,1.344459394400187,1.0047084094100553
PARTIAL_MALL,5,SHAR,rolling,3,2.4778883547769168e-08,0.0001547040417240758,8.774074225416708e-05,1.2948513077148933,0.9966758805499628
